id,city,region,country,country_code,air_quality,water_pollution
1,New York City,New York,United States of America,840,46.81603774,49.5049505
2,"Washington, D.C.",District of Columbia,United States of America,840,66.12903226,49.10714286
3,San Francisco,California,United States of America,840,60.51401869,43
4,Berlin,,Germany,276,62.36413043,28.61271676
5,Los Angeles,California,United States of America,840,36.62162162,61.29943503
6,Bern,Canton of Bern,Switzerland,756,94.31818182,12.5
7,Geneva,Canton of Geneva,Switzerland,756,71.53846154,17.37288136
8,Zurich,Canton of Zurich,Switzerland,756,83.80952381,10.71428571
9,Basel,,Switzerland,756,81.66666667,26.92307692
10,London,England,United Kingdom,826,37.04225352,40.71637427
11,Cairo,Cairo Governorate,Egypt,818,15.830721,74.35064935
12,Alexandria,Alexandria Governorate,Egypt,818,41.03773585,71.2962963
13,Alexandria,Virginia,United States of America,840,89.0625,46.15384615
14,Paris,Ile-de-France,France,250,34.02439024,43.12169312
15,Boston,Massachusetts,United States of America,840,78.23529412,32.91139241
16,Toronto,Ontario,Canada,124,65.53468208,37.7994012
17,Sao Paulo,Sao Paulo,Brazil,76,24.05660377,73.71794872
18,Vilnius,,Lithuania,440,77.24719101,20.58823529
19,Monaco,,Monaco,492,28.78787879,61.36363636
20,Brussels,,Belgium,56,35.81081081,44.76190476
21,Poznan,Greater Poland Voivodeship,Poland,616,33.07692308,50.42372881
22,Tashkent,,Uzbekistan,860,56.4516129,49.16666667
23,Warsaw,Masovian Voivodeship,Poland,616,27.27272727,36.01485149
24,Modena,Emilia-Romagna,Italy,380,39.0625,50
25,Tours,,France,250,84.375,6.25
26,Singapore,,Singapore,702,65.87837838,24.204947
27,Montreal,Quebec,Canada,124,70.76023392,36.96319018
28,Cambridge,England,United Kingdom,826,69.82758621,30.55555556
29,Cologne,North Rhine-Westphalia,Germany,276,60.71428571,27.77777778
30,Skopje,Greater Skopje,North Macedonia,807,10.19417476,45.26315789
31,Gdynia,Pomeranian Voivodeship,Poland,616,49.41860465,48.61111111
32,Szczecin,West Pomeranian Voivodeship,Poland,616,41.37931034,53.75
33,Ljubljana,Ljubljana City Municipality,Slovenia,705,72.16494845,17.58241758
34,Plovdiv,Plovdiv region,Bulgaria,100,31.41025641,36.29032258
35,Sofia,Sofia City Province,Bulgaria,100,23.62132353,40.94339623
36,Milan,Lombardy,Italy,380,24.39759036,39.49044586
37,Trieste,Friuli-Venezia Giulia,Italy,380,58.87096774,29
38,Lodz,Lodz Voivodeship,Poland,616,28.84615385,40.44117647
39,Villeurbanne,,France,250,75,50
40,Oslo,,Norway,578,74.75728155,14.17525773
41,Bonn,North Rhine-Westphalia,Germany,276,82.8125,22.5
42,Katowice,Silesian Voivodeship,Poland,616,27.77777778,48.33333333
43,Lisbon,Lisbon,Portugal,620,64.60674157,24.85632184
44,Rzeszow,Podkarpackie Voivodeship,Poland,616,37.5,47.05882353
45,Dubai,Emirate of Dubai,United Arab Emirates,784,48.87387387,39.84615385
46,Padua,Veneto,Italy,380,29.16666667,50
47,Bergamo,Lombardy,Italy,380,46.66666667,35
48,Venice,Veneto,Italy,380,36.25,67.85714286
49,Rennes,,France,250,62.5,35
50,Lille,,France,250,48.91304348,35.52631579
51,Moscow,,Russia,643,41.47526502,49.72527473
52,Saint Petersburg,,Russia,643,43.10344828,54.8816568
53,Heilbronn,Baden-Wurttemberg,Germany,276,80,0
54,Saginaw,Michigan,United States of America,840,85,70
55,Bialystok,Podlaskie Voivodeship,Poland,616,34.52380952,52.94117647
56,Nowy Sacz,Lesser Poland Voivodeship,Poland,616,30,100
57,Lausanne,Canton of Vaud,Switzerland,756,78.26086957,17.5
58,Abakan,Republic of Khakassia,Russia,643,0,75
59,Novosibirsk,Novosibirsk Oblast,Russia,643,36.48648649,54.05405405
60,Yekaterinburg,Sverdlovsk Oblast,Russia,643,27.90697674,58.33333333
61,Samara,Samara Oblast,Russia,643,48.4375,51.5625
62,Omsk,Omsk Oblast,Russia,643,16.17647059,48.52941176
63,Kazan,Republic of Tatarstan,Russia,643,41.25,58.33333333
64,Chelyabinsk,Chelyabinsk Oblast,Russia,643,16.66666667,70.3125
65,Ufa,Bashkortostan,Russia,643,20.83333333,68.18181818
66,Volgograd,Volgograd Oblast,Russia,643,21.66666667,59.375
67,Perm,Perm Krai,Russia,643,44.44444444,50
68,Krasnoyarsk,Krasnoyarsk Krai,Russia,643,6.617647059,49.21875
69,Beijing,,China,156,21.36627907,70.78313253
70,Vladivostok,Primorsky Krai,Russia,643,35,67.5
71,San Antonio,Texas,United States of America,840,63.41463415,50.67567568
72,Tomsk,Tomsk Oblast,Russia,643,46.42857143,51.78571429
73,Tbilisi,,Georgia,268,22.98387097,49.34782609
74,Maribor,Maribor City Municipality,Slovenia,705,76.25,18.75
75,Celje,City Municipality of Celje,Slovenia,705,50,8.333333333
76,Koper,City Municipality of Koper,Slovenia,705,87.5,0
77,Aachen,North Rhine-Westphalia,Germany,276,70.45454545,17.85714286
78,Nova Gorica,City Municipality of Nova Gorica,Slovenia,705,75,12.5
79,Kranj,City Municipality of Kranj,Slovenia,705,80.55555556,12.5
80,Stuttgart,Baden-Wurttemberg,Germany,276,43.125,24.28571429
81,Biel/Bienne,Canton of Bern,Switzerland,756,37.5,31.25
82,Karlsruhe,Baden-Wurttemberg,Germany,276,87.5,5.555555556
83,Hamburg,,Germany,276,70.76271186,24.50980392
84,Ahmedabad,Gujarat,India,356,32.96296296,66.9921875
85,Salerno,Campania,Italy,380,60,58.33333333
86,Prague,,Czech Republic,203,63.21243523,25.70621469
87,Jamnagar,Gujarat,India,356,34.48275862,58.33333333
88,Busto Arsizio,Lombardy,Italy,380,0,75
89,Mumbai,Maharashtra,India,356,25.16025641,75.32537961
